Identificador de la publicación,Nombre de usuario de la cuenta,Descripción,Hora de publicación,Enlace permanente,Tipo de publicación,Visualizaciones,Alcance,Me gusta,Veces que se compartió,Comentarios,Veces que se guardó,Seguimientos
18079882891623420,lentesplus.latam,"🎁✨ Este San Valentín, regala una mirada inolvidable ✨🎁

Sorprende a esa persona especial con lentes de contacto que realcen su belleza 😍. Un detalle único para enamorar con la mirada 💖.

💌 Elige su color favorito y haz de este día algo mágico. ¡Porque los mejores regalos son los que iluminan los ojos! ✨👀

#lentesdecontacto fecto #SanValentín #LentesDeContacto #LoveAtFirstSight #saludvisual",02/11/2025 14:30,https://www.instagram.com/reel/DF8wnK6yZfl/,Reel de Instagram,1698,1305,13,0,0,2,0
18055939730094908,isabelaaalban,"Este 14 de Febrero regala @lentesplus.latam 🤍 

Tienen un montón de opciones de monturas y además tienen unas marcas espectaculares.",02/14/2025 10:33,https://www.instagram.com/reel/DGEDoUJpVE9/,Reel de Instagram,1681,,39,1,17,0,
18164260174330838,lannie_salvatore,"Recuerda que con el Código LANNIE, tienes un 15% de descuento en la compra total 👀✨🫶🏼
Aplican TyC",02/14/2025 14:25,https://www.instagram.com/reel/DGEd_WrSm_F/,Reel de Instagram,22987,,1085,15,12,0,
17842989474431594,lentesplus.latam,"¡Conquista el Festival Estéreo Picnic 2025 con una visión única! 😎🎉Participa y gana una boleta para un día del festival + 15 días de tratamiento Clariti 1 Day. Sigue estos pasos:

1️⃣ Crea una historia en Instagram: Publica una historia donde nos etiquetes y usa el #clariti1day📸✨.
2️⃣ Cuéntanos tu historia: En la historia, explica por qué quieres usar lentes de contacto y disfrutar del festival 🎶👀.
3️⃣ Asegura tu participación: Verifica que tu cuenta sea pública para que podamos ver tu historia 🔓.
4️⃣Sé creativo: La historia más original y creativa será la ganadora 🏆💡.

#ExperienciaClarity1Day #FestivalEstéreoPicnic2025",02/24/2025 09:01,https://www.instagram.com/reel/DGdo74Yp-tZ/,Reel de Instagram,17686,657982,244,6,0,1,1
17997846407762114,lentesplus.latam,"¡Estos famosos utilizan lentes de contacto!
Que esperas para probar un nuevo look con Lentes plus #lentesdecontacto #famosos #cambiodelook #viral",02/28/2025 13:30,https://www.instagram.com/reel/DGobQl2S2Yq/,Reel de Instagram,1914,1460,16,1,0,2,1
18166469197330179,lentesplus.latam,"Olvídate de la limpieza y prueba la comodidad de los lentes de contacto diarios! ✨
👀 Cada día, un par nuevo. Sin soluciones, sin estuches, sin rollos. · Máxima comodidad y frescura para tus ojos
#LentesDeContacto #VisionClara #ComodidadTotal #LentesDiarios #SinComplicaciones",03/04/2025 14:06,https://www.instagram.com/reel/DGyycvXug23/,Reel de Instagram,1032,778,14,0,0,2,0
17993160515619999,anahysuribe,"OOTD
Accesorios @vil_chic 
.
.
.
.
#outfit #outfitcheck #inspogirl #moda #fashion #tendencias #outfitoftheday #outfitinspiration",03/05/2025 12:18,https://www.instagram.com/reel/DG1K72_JvO1/,Reel de Instagram,10689,,232,994,183,0,
18102376660449040,lentesplus.latam,"👀✨ Visión clara todo el mes con lentes de contacto mensuales.

📌 Consulta a tu especialista.

#LentesDeContacto #VisiónClara #cuidadoocular",03/13/2025 16:00,https://www.instagram.com/reel/DHKD1MKSzh6/,Reel de Instagram,1118,903,16,1,0,1,0
17986227992658503,aradittler,"Al fin tengo lentes nuevosss 🤩🤓 (los otros que tenia eran sin aumento, y los que tenian aumento se partieron 😅) Gracias @lentesplus.latam ❤️ por permitirme encontrar el elegido #lentes #vlog #sᴛᴏʀʏᴛɪᴍᴇ #anteojos #unboxing #nuevo #aesthetic",04/08/2025 14:33,https://www.instagram.com/reel/DIM1-sqhJ5E/,Reel de Instagram,202820,,4806,22,14,0,
18082227145661882,lentesplus.latam,"👓✨ ¡Un viaje a través del tiempo con las gafas!
Desde cristales rudimentarios hasta diseños futuristas, descubre cómo este accesorio esencial ha evolucionado a lo largo de los siglos.
Swipe ➡️ para ver cómo pasamos de la necesidad a la moda.
#HistoriaDeLasGafas #curiosidades  #EstiloYVisión #óptica",04/29/2025 15:10,https://www.instagram.com/p/DJC_cpLN7Je/,Secuencia de Instagram,3017,1318,15,1,0,8,2
