Fecha,Alcance,Clics,Interacciones,Seguidores,Visitas,Visualizaciones
2025-01-01,36,0,0,,17,0
2025-01-02,305,4,0,,75,0
2025-01-03,756,1,0,,50,0
2025-01-04,573,0,0,,43,0
2025-01-05,403,0,0,,30,0
2025-01-06,656,0,0,,43,0
2025-01-07,459,0,0,,57,0
2025-01-08,315,8,0,,64,0
2025-01-09,803,0,0,,77,0
2025-01-10,385,7,0,,58,0
2025-01-11,129,1,0,,47,0
2025-01-12,65,0,0,,49,0
2025-01-13,284,7,0,,57,0
2025-01-14,79,0,0,,52,0
2025-01-15,451,5,0,,97,0
2025-01-16,259,0,0,,53,0
2025-01-17,308,6,0,,64,0
2025-01-18,97,1,0,,36,0
2025-01-19,67,0,0,,27,0
2025-01-20,300,2,0,,41,0
2025-01-21,5782,1,0,,105,0
2025-01-22,3504,5,0,,96,0
2025-01-23,810,0,0,,75,0
2025-01-24,634,11,0,,41,0
2025-01-25,915,0,0,,62,0
2025-01-26,406,0,0,,41,0
2025-01-27,565,10,0,,48,0
2025-01-28,344,2,0,,54,0
2025-01-29,368,2,0,,66,0
2025-01-30,124,0,0,,70,0
2025-01-31,449,4,0,,42,0
2025-02-01,195,0,0,,38,0
2025-02-02,140,0,0,,47,0
2025-02-03,279,2,0,,68,0
2025-02-04,738,0,0,,205,0
2025-02-05,506,4,0,,158,0
2025-02-06,260,1,0,,57,0
2025-02-07,326,7,0,,35,0
2025-02-08,413,0,0,,41,0
2025-02-09,77,0,0,,19,0
2025-02-10,513,8,0,,55,0
2025-02-11,791,0,0,,66,0
2025-02-12,326,2,0,,42,0
2025-02-13,269,0,0,,35,0
2025-02-14,267,0,0,,52,0
2025-02-15,309,0,0,,46,0
2025-02-16,62,0,0,,41,0
2025-02-17,305,6,0,,62,0
2025-02-18,409,1,0,,93,0
2025-02-19,420,6,0,,83,0
2025-02-20,104,0,0,,68,0
2025-02-21,253,4,0,,62,0
2025-02-22,59,0,0,,32,0
2025-02-23,40,0,0,,29,0
2025-02-24,499,1,0,,43,0
2025-02-25,214,0,0,,46,0
2025-02-26,381,6,0,,68,0
2025-02-27,440,2,0,,51,0
2025-02-28,609,7,0,,60,0
2025-03-01,290,0,0,,39,0
2025-03-02,166,0,0,,31,0
2025-03-03,303,3,0,,70,0
2025-03-04,234,1,0,,49,0
2025-03-05,530,6,0,,58,0
2025-03-06,3789,5,0,,61,0
2025-03-07,291,7,0,,44,0
2025-03-08,341,0,0,,39,0
2025-03-09,157,1,0,,34,0
2025-03-10,5715,5,0,,68,0
2025-03-11,1073,2,0,,54,0
2025-03-12,1152,7,0,,101,0
2025-03-13,1098,6,0,,99,0
2025-03-14,996,3,0,,108,0
2025-03-15,1168,1,0,,124,0
2025-03-16,1103,3,0,,100,0
2025-03-17,788,4,0,,120,0
